company_name,scheme,award_date,project_summary,url,website,city
Aicheng Innovation and Research Private Limited,BIRAC BIG 21,2023-02-10,"BIRAC Biotechnology Ignition Grant awardee, category: Agriculture and allied areas.",https://birac.nic.in/webcontent/1676014626_Final_list_of_BIG_21_Awardees.pdf,,
Amdus Technologies Private Limited,BIRAC BIG 21,2023-02-10,"BIRAC Biotechnology Ignition Grant awardee, category: Diagnostics.",https://birac.nic.in/webcontent/1676014626_Final_list_of_BIG_21_Awardees.pdf,,
Atre Healthtech Private Limited,BIRAC BIG 21,2023-02-10,"BIRAC Biotechnology Ignition Grant awardee, category: Diagnostics.",https://birac.nic.in/webcontent/1676014626_Final_list_of_BIG_21_Awardees.pdf,,
Chimertech Private Limited,BIRAC BIG 21,2023-02-10,"BIRAC Biotechnology Ignition Grant awardee, category: Agriculture and allied areas.",https://birac.nic.in/webcontent/1676014626_Final_list_of_BIG_21_Awardees.pdf,,
Dhenoo Tech Solutions Private Limited,BIRAC BIG 21,2023-02-10,"BIRAC Biotechnology Ignition Grant awardee, category: Agriculture and allied areas.",https://birac.nic.in/webcontent/1676014626_Final_list_of_BIG_21_Awardees.pdf,,
DrPashu AI Technologies Private Limited,BIRAC BIG 21,2023-02-10,"BIRAC Biotechnology Ignition Grant awardee, category: Agriculture and allied areas.",https://birac.nic.in/webcontent/1676014626_Final_list_of_BIG_21_Awardees.pdf,,
Dverse Technologies Private Limited,BIRAC BIG 21,2023-02-10,"BIRAC Biotechnology Ignition Grant awardee, category: Medical Devices.",https://birac.nic.in/webcontent/1676014626_Final_list_of_BIG_21_Awardees.pdf,,
Famnutra Millet Foods Private Limited,BIRAC BIG 21,2023-02-10,"BIRAC Biotechnology Ignition Grant awardee, category: Agriculture and allied areas.",https://birac.nic.in/webcontent/1676014626_Final_list_of_BIG_21_Awardees.pdf,,
FeetWings Private Limited,BIRAC BIG 21,2023-02-10,"BIRAC Biotechnology Ignition Grant awardee, category: Medical Devices.",https://birac.nic.in/webcontent/1676014626_Final_list_of_BIG_21_Awardees.pdf,,
FlavinLabs Private Limited,BIRAC BIG 21,2023-02-10,"BIRAC Biotechnology Ignition Grant awardee, category: Agriculture and allied areas.",https://birac.nic.in/webcontent/1676014626_Final_list_of_BIG_21_Awardees.pdf,,
Fluoresight Bioprobes Private Limited,BIRAC BIG 21,2023-02-10,"BIRAC Biotechnology Ignition Grant awardee, category: Industrial Biotechnology, Clean Energy & Environment.",https://birac.nic.in/webcontent/1676014626_Final_list_of_BIG_21_Awardees.pdf,,
Gohemp Agroventures Private Limited,BIRAC BIG 21,2023-02-10,"BIRAC Biotechnology Ignition Grant awardee, category: Agriculture and allied areas.",https://birac.nic.in/webcontent/1676014626_Final_list_of_BIG_21_Awardees.pdf,,
Hab Biomass Private Limited,BIRAC BIG 21,2023-02-10,"BIRAC Biotechnology Ignition Grant awardee, category: Industrial Biotechnology, Clean Energy & Environment.",https://birac.nic.in/webcontent/1676014626_Final_list_of_BIG_21_Awardees.pdf,,
Imrobonix Private Limited,BIRAC BIG 21,2023-02-10,"BIRAC Biotechnology Ignition Grant awardee, category: Medical Devices.",https://birac.nic.in/webcontent/1676014626_Final_list_of_BIG_21_Awardees.pdf,,
Inger Therapeutics Private Limited,BIRAC BIG 21,2023-02-10,"BIRAC Biotechnology Ignition Grant awardee, category: Drugs and related areas.",https://birac.nic.in/webcontent/1676014626_Final_list_of_BIG_21_Awardees.pdf,,
Inovaugmet Research Private Limited,BIRAC BIG 21,2023-02-10,"BIRAC Biotechnology Ignition Grant awardee, category: Drugs and related areas.",https://birac.nic.in/webcontent/1676014626_Final_list_of_BIG_21_Awardees.pdf,,
Kissanconnect LLP,BIRAC BIG 21,2023-02-10,"BIRAC Biotechnology Ignition Grant awardee, category: Agriculture and allied areas.",https://birac.nic.in/webcontent/1676014626_Final_list_of_BIG_21_Awardees.pdf,,
Leofelis Instruments Private Limited,BIRAC BIG 21,2023-02-10,"BIRAC Biotechnology Ignition Grant awardee, category: Agriculture and allied areas.",https://birac.nic.in/webcontent/1676014626_Final_list_of_BIG_21_Awardees.pdf,,
Magnimous Info Tech Private Limited,BIRAC BIG 21,2023-02-10,"BIRAC Biotechnology Ignition Grant awardee, category: Medical Devices.",https://birac.nic.in/webcontent/1676014626_Final_list_of_BIG_21_Awardees.pdf,,
NKure Therapeutics Private Limited,BIRAC BIG 21,2023-02-10,"BIRAC Biotechnology Ignition Grant awardee, category: Drugs and related areas.",https://birac.nic.in/webcontent/1676014626_Final_list_of_BIG_21_Awardees.pdf,,
Njyme Solutions Private Limited,BIRAC BIG 21,2023-02-10,"BIRAC Biotechnology Ignition Grant awardee, category: Industrial Biotechnology, Clean Energy & Environment.",https://birac.nic.in/webcontent/1676014626_Final_list_of_BIG_21_Awardees.pdf,,
Nutrigenetics Life Science Private Limited,BIRAC BIG 21,2023-02-10,"BIRAC Biotechnology Ignition Grant awardee, category: Agriculture and allied areas.",https://birac.nic.in/webcontent/1676014626_Final_list_of_BIG_21_Awardees.pdf,,
Oneomics Private Limited,BIRAC BIG 21,2023-02-10,"BIRAC Biotechnology Ignition Grant awardee, category: Industrial Biotechnology, Clean Energy & Environment.",https://birac.nic.in/webcontent/1676014626_Final_list_of_BIG_21_Awardees.pdf,,
Raycura Medical Technologies Private Limited,BIRAC BIG 21,2023-02-10,"BIRAC Biotechnology Ignition Grant awardee, category: Medical Devices.",https://birac.nic.in/webcontent/1676014626_Final_list_of_BIG_21_Awardees.pdf,,
Scitechesy Research and Technology Private Limited,BIRAC BIG 21,2023-02-10,"BIRAC Biotechnology Ignition Grant awardee, category: Industrial Biotechnology, Clean Energy & Environment.",https://birac.nic.in/webcontent/1676014626_Final_list_of_BIG_21_Awardees.pdf,,
Spotdot Bioinnovations Private Limited,BIRAC BIG 21,2023-02-10,"BIRAC Biotechnology Ignition Grant awardee, category: Diagnostics.",https://birac.nic.in/webcontent/1676014626_Final_list_of_BIG_21_Awardees.pdf,,
SunQulp Tech Private Limited,BIRAC BIG 21,2023-02-10,"BIRAC Biotechnology Ignition Grant awardee, category: Medical Devices.",https://birac.nic.in/webcontent/1676014626_Final_list_of_BIG_21_Awardees.pdf,,
Theranautilus Private Limited,BIRAC BIG 21,2023-02-10,"BIRAC Biotechnology Ignition Grant awardee, category: Medical Devices.",https://birac.nic.in/webcontent/1676014626_Final_list_of_BIG_21_Awardees.pdf,,
UR Advanced Therapeutics Private Limited,BIRAC BIG 21,2023-02-10,"BIRAC Biotechnology Ignition Grant awardee, category: Drugs and related areas.",https://birac.nic.in/webcontent/1676014626_Final_list_of_BIG_21_Awardees.pdf,,
VeGen Labs LLP,BIRAC BIG 21,2023-02-10,"BIRAC Biotechnology Ignition Grant awardee, category: Drugs and related areas.",https://birac.nic.in/webcontent/1676014626_Final_list_of_BIG_21_Awardees.pdf,,
Xact Diagnotek Private Limited,BIRAC BIG 21,2023-02-10,"BIRAC Biotechnology Ignition Grant awardee, category: Diagnostics.",https://birac.nic.in/webcontent/1676014626_Final_list_of_BIG_21_Awardees.pdf,,
AnalyticsPlus India Private Limited,BIRAC BIG 22,2023-08-04,"BIRAC Biotechnology Ignition Grant awardee, category: Industrial Biotechnology, Clean Energy & Environment.",https://birac.nic.in/webcontent/1691146780_Final_list_of_BIG_22_Awardees.pdf,,
Aspiel Syringes Private Limited,BIRAC BIG 22,2023-08-04,"BIRAC Biotechnology Ignition Grant awardee, category: Drugs and related areas.",https://birac.nic.in/webcontent/1691146780_Final_list_of_BIG_22_Awardees.pdf,,
Auric Cosmo India Private Limited,BIRAC BIG 22,2023-08-04,"BIRAC Biotechnology Ignition Grant awardee, category: Agriculture and allied areas.",https://birac.nic.in/webcontent/1691146780_Final_list_of_BIG_22_Awardees.pdf,,
Avinya NeuroTech Private Limited,BIRAC BIG 22,2023-08-04,"BIRAC Biotechnology Ignition Grant awardee, category: Medical Devices.",https://birac.nic.in/webcontent/1691146780_Final_list_of_BIG_22_Awardees.pdf,,
